id,reason_for_absence,month_of_absence,day_of_the_week,seasons,service_time,work_load_average_day,hit_target,absenteeism_bins,total_disciplinary_failures,cluster
36,23,4,2,3,18,239.409,98,"(-0.001, 2.0]",6,1
36,13,4,4,3,18,239.409,98,"(20.0, 120.0]",6,1
36,23,6,4,1,18,253.957,95,"(-0.001, 2.0]",6,1
36,23,7,6,1,18,230.29,92,"(-0.001, 2.0]",6,1
36,23,4,3,3,18,246.288,91,"(2.0, 4.0]",6,1
36,14,4,5,3,18,246.288,91,"(-0.001, 2.0]",6,1
36,23,5,2,3,18,237.656,99,"(-0.001, 2.0]",6,1
36,5,5,3,3,18,237.656,99,"(2.0, 4.0]",6,1
36,19,6,5,3,18,275.089,96,"(20.0, 120.0]",6,1
36,19,6,5,3,18,275.089,96,"(2.0, 4.0]",6,1
3,23,7,4,1,18,239.554,97,"(-0.001, 2.0]",1,1
3,23,7,6,1,18,239.554,97,"(-0.001, 2.0]",1,1
3,11,7,4,1,18,239.554,97,"(-0.001, 2.0]",1,1
3,23,7,4,1,18,239.554,97,"(2.0, 4.0]",1,1
3,23,7,6,1,18,239.554,97,"(-0.001, 2.0]",1,1
3,21,7,2,1,18,239.554,97,"(4.0, 8.0]",1,1
3,11,8,2,1,18,205.917,92,"(-0.001, 2.0]",1,1
3,23,8,6,1,18,205.917,92,"(-0.001, 2.0]",1,1
3,18,8,2,1,18,205.917,92,"(4.0, 8.0]",1,1
3,23,8,2,1,18,205.917,92,"(-0.001, 2.0]",1,1
3,23,9,3,1,18,241.476,92,"(2.0, 4.0]",1,1
3,23,9,3,1,18,241.476,92,"(2.0, 4.0]",1,1
3,23,9,4,4,18,241.476,92,"(2.0, 4.0]",1,1
3,23,9,6,4,18,241.476,92,"(2.0, 4.0]",1,1
3,23,10,3,4,18,253.465,93,"(2.0, 4.0]",1,1
3,23,10,6,4,18,253.465,93,"(2.0, 4.0]",1,1
3,23,10,4,4,18,253.465,93,"(4.0, 8.0]",1,1
3,23,11,5,4,18,306.345,93,"(-0.001, 2.0]",1,1
3,13,11,5,4,18,306.345,93,"(4.0, 8.0]",1,1
3,11,2,4,2,18,302.585,99,"(4.0, 8.0]",1,1
3,13,3,3,2,18,343.2530000000001,95,"(20.0, 120.0]",1,1
3,13,3,4,3,18,343.2530000000001,95,"(2.0, 4.0]",1,1
3,13,4,4,3,18,326.452,96,"(20.0, 120.0]",1,1
3,18,5,3,3,18,378.884,92,"(4.0, 8.0]",1,1
3,12,5,3,3,18,378.884,92,"(-0.001, 2.0]",1,1
3,11,5,3,3,18,378.884,92,"(-0.001, 2.0]",1,1
3,11,6,2,3,18,377.55,94,"(4.0, 8.0]",1,1
3,11,6,6,3,18,377.55,94,"(-0.001, 2.0]",1,1
3,26,7,5,1,18,275.312,98,"(4.0, 8.0]",1,1
3,11,9,2,1,18,294.217,81,"(4.0, 8.0]",1,1
3,23,9,6,1,18,294.217,81,"(2.0, 4.0]",1,1
3,13,9,4,1,18,294.217,81,"(4.0, 8.0]",1,1
3,23,9,5,1,18,294.217,81,"(-0.001, 2.0]",1,1
3,13,9,2,4,18,294.217,81,"(4.0, 8.0]",1,1
3,28,10,4,4,18,265.017,88,"(-0.001, 2.0]",1,1
3,6,11,3,4,18,284.031,97,"(4.0, 8.0]",1,1
3,28,11,5,4,18,284.031,97,"(2.0, 4.0]",1,1
3,28,11,3,4,18,284.031,97,"(-0.001, 2.0]",1,1
3,23,11,5,4,18,284.031,97,"(-0.001, 2.0]",1,1
3,28,12,2,4,18,236.629,93,"(-0.001, 2.0]",1,1
3,28,12,2,4,18,236.629,93,"(-0.001, 2.0]",1,1
3,28,12,5,4,18,236.629,93,"(-0.001, 2.0]",1,1
3,28,12,6,4,18,236.629,93,"(-0.001, 2.0]",1,1
3,28,12,6,4,18,236.629,93,"(-0.001, 2.0]",1,1
3,28,12,2,2,18,236.629,93,"(2.0, 4.0]",1,1
3,28,1,4,2,18,330.061,100,"(-0.001, 2.0]",1,1
3,28,1,6,2,18,330.061,100,"(-0.001, 2.0]",1,1
3,27,2,4,2,18,251.818,96,"(2.0, 4.0]",1,1
3,23,2,6,2,18,251.818,96,"(2.0, 4.0]",1,1
3,27,2,2,2,18,251.818,96,"(-0.001, 2.0]",1,1
3,27,2,4,2,18,251.818,96,"(2.0, 4.0]",1,1
3,10,2,5,2,18,251.818,96,"(4.0, 8.0]",1,1
3,27,2,6,2,18,251.818,96,"(2.0, 4.0]",1,1
3,27,2,2,2,18,251.818,96,"(2.0, 4.0]",1,1
3,27,2,4,2,18,251.818,96,"(2.0, 4.0]",1,1
3,27,2,6,2,18,251.818,96,"(2.0, 4.0]",1,1
3,27,2,4,2,18,251.818,96,"(2.0, 4.0]",1,1
3,27,2,6,2,18,251.818,96,"(2.0, 4.0]",1,1
3,28,3,2,2,18,244.387,98,"(-0.001, 2.0]",1,1
3,28,3,2,2,18,244.387,98,"(8.0, 20.0]",1,1
3,28,3,6,3,18,244.387,98,"(4.0, 8.0]",1,1
3,28,4,4,3,18,239.409,98,"(2.0, 4.0]",1,1
3,28,4,4,3,18,239.409,98,"(4.0, 8.0]",1,1
3,28,4,2,3,18,239.409,98,"(2.0, 4.0]",1,1
3,28,5,4,3,18,246.074,99,"(2.0, 4.0]",1,1
3,28,6,2,3,18,253.957,95,"(2.0, 4.0]",1,1
3,28,6,2,3,18,253.957,95,"(20.0, 120.0]",1,1
3,28,6,2,3,18,253.957,95,"(2.0, 4.0]",1,1
3,28,6,2,1,18,253.957,95,"(-0.001, 2.0]",1,1
3,5,6,4,1,18,253.957,95,"(4.0, 8.0]",1,1
3,28,7,3,1,18,230.29,92,"(-0.001, 2.0]",1,1
3,25,8,5,1,18,249.797,93,"(2.0, 4.0]",1,1
3,25,8,2,1,18,249.797,93,"(2.0, 4.0]",1,1
3,23,9,2,1,18,261.756,87,"(2.0, 4.0]",1,1
3,28,10,4,4,18,284.853,91,"(2.0, 4.0]",1,1
3,21,11,3,4,18,268.519,93,"(-0.001, 2.0]",1,1
3,28,11,6,4,18,268.519,93,"(-0.001, 2.0]",1,1
3,28,11,2,4,18,268.519,93,"(-0.001, 2.0]",1,1
3,13,12,3,4,18,280.54900000000004,98,"(20.0, 120.0]",1,1
3,27,1,4,2,18,313.532,96,"(2.0, 4.0]",1,1
3,27,1,5,2,18,313.532,96,"(2.0, 4.0]",1,1
3,27,1,6,2,18,313.532,96,"(-0.001, 2.0]",1,1
3,13,2,3,2,18,264.249,97,"(4.0, 8.0]",1,1
3,27,2,4,2,18,264.249,97,"(-0.001, 2.0]",1,1
3,27,2,5,2,18,264.249,97,"(-0.001, 2.0]",1,1
3,27,2,6,2,18,264.249,97,"(-0.001, 2.0]",1,1
3,27,2,2,2,18,264.249,97,"(-0.001, 2.0]",1,1
3,27,2,4,2,18,264.249,97,"(2.0, 4.0]",1,1
3,27,2,5,2,18,264.249,97,"(2.0, 4.0]",1,1
3,27,2,6,2,18,264.249,97,"(2.0, 4.0]",1,1
3,27,2,4,2,18,264.249,97,"(-0.001, 2.0]",1,1
3,13,2,5,2,18,264.249,97,"(4.0, 8.0]",1,1
3,27,2,6,2,18,264.249,97,"(-0.001, 2.0]",1,1
3,27,2,2,2,18,264.249,97,"(-0.001, 2.0]",1,1
3,27,2,3,2,18,264.249,97,"(-0.001, 2.0]",1,1
3,27,2,4,2,18,264.249,97,"(-0.001, 2.0]",1,1
3,27,2,5,2,18,264.249,97,"(-0.001, 2.0]",1,1
3,27,3,2,2,18,222.196,99,"(-0.001, 2.0]",1,1
3,27,3,4,2,18,222.196,99,"(-0.001, 2.0]",1,1
3,27,3,5,2,18,222.196,99,"(2.0, 4.0]",1,1
3,13,3,3,2,18,222.196,99,"(4.0, 8.0]",1,1
3,27,3,4,2,18,222.196,99,"(-0.001, 2.0]",1,1
3,27,3,5,2,18,222.196,99,"(2.0, 4.0]",1,1
3,10,3,2,2,18,222.196,99,"(2.0, 4.0]",1,1
3,27,3,2,2,18,222.196,99,"(2.0, 4.0]",1,1
3,27,3,3,2,18,222.196,99,"(-0.001, 2.0]",1,1
3,27,3,4,2,18,222.196,99,"(-0.001, 2.0]",1,1
3,27,3,5,2,18,222.196,99,"(2.0, 4.0]",1,1
3,27,3,6,2,18,222.196,99,"(2.0, 4.0]",1,1
3,27,3,3,3,18,222.196,99,"(2.0, 4.0]",1,1
3,27,3,4,3,18,222.196,99,"(2.0, 4.0]",1,1
3,27,3,5,3,18,222.196,99,"(2.0, 4.0]",1,1
7,7,7,5,1,14,239.554,97,"(2.0, 4.0]",2,2
7,14,3,2,2,14,343.2530000000001,95,"(4.0, 8.0]",2,2
7,14,3,5,3,14,343.2530000000001,95,"(8.0, 20.0]",2,2
7,23,7,5,1,14,230.29,92,"(-0.001, 2.0]",2,2
10,22,7,6,1,3,239.554,97,"(4.0, 8.0]",0,0
10,13,8,2,1,3,205.917,92,"(20.0, 120.0]",0,0
10,25,8,2,1,3,205.917,92,"(4.0, 8.0]",0,0
10,23,8,2,1,3,205.917,92,"(-0.001, 2.0]",0,0
10,23,10,6,4,3,253.465,93,"(-0.001, 2.0]",0,0
10,22,12,4,4,3,261.306,97,"(4.0, 8.0]",0,0
10,22,12,4,4,3,261.306,97,"(4.0, 8.0]",0,0
10,22,5,6,3,3,378.884,92,"(4.0, 8.0]",0,0
10,22,6,2,3,3,377.55,94,"(4.0, 8.0]",0,0
10,22,7,3,1,3,275.312,98,"(4.0, 8.0]",0,0
10,8,8,3,1,3,265.615,94,"(4.0, 8.0]",0,0
10,10,10,2,4,3,265.017,88,"(4.0, 8.0]",0,0
10,22,3,4,2,3,244.387,98,"(4.0, 8.0]",0,0
10,23,5,5,3,3,246.074,99,"(-0.001, 2.0]",0,0
10,22,7,6,1,3,230.29,92,"(4.0, 8.0]",0,0
10,22,9,3,4,3,261.756,87,"(4.0, 8.0]",0,0
10,22,11,3,4,3,268.519,93,"(4.0, 8.0]",0,0
10,28,11,2,4,3,268.519,93,"(-0.001, 2.0]",0,0
10,14,12,5,4,3,280.54900000000004,98,"(2.0, 4.0]",0,0
10,19,3,2,2,3,222.196,99,"(4.0, 8.0]",0,0
10,19,4,3,3,3,246.288,91,"(4.0, 8.0]",0,0
10,23,4,3,3,3,246.288,91,"(-0.001, 2.0]",0,0
10,7,5,2,3,3,237.656,99,"(4.0, 8.0]",0,0
10,22,7,4,1,3,264.60400000000004,93,"(4.0, 8.0]",0,0
20,23,7,6,1,11,239.554,97,"(2.0, 4.0]",3,2
20,1,7,2,1,11,239.554,97,"(4.0, 8.0]",3,2
20,1,7,3,1,11,239.554,97,"(4.0, 8.0]",3,2
20,11,7,4,1,11,239.554,97,"(4.0, 8.0]",3,2
20,28,8,6,1,11,205.917,92,"(2.0, 4.0]",3,2
20,23,8,6,1,11,205.917,92,"(2.0, 4.0]",3,2
20,22,9,6,1,11,241.476,92,"(4.0, 8.0]",3,2
20,23,9,6,4,11,241.476,92,"(2.0, 4.0]",3,2
20,19,10,5,4,11,253.465,93,"(8.0, 20.0]",3,2
20,28,10,6,4,11,253.465,93,"(2.0, 4.0]",3,2
20,28,11,6,4,11,306.345,93,"(2.0, 4.0]",3,2
20,26,12,6,4,11,261.306,97,"(4.0, 8.0]",3,2
20,28,12,6,4,11,261.306,97,"(2.0, 4.0]",3,2
20,28,2,6,2,11,302.585,99,"(-0.001, 2.0]",3,2
20,19,3,3,2,11,343.2530000000001,95,"(4.0, 8.0]",3,2
20,13,3,4,2,11,343.2530000000001,95,"(4.0, 8.0]",3,2
20,13,3,6,2,11,343.2530000000001,95,"(20.0, 120.0]",3,2
20,26,3,2,2,11,343.2530000000001,95,"(8.0, 20.0]",3,2
20,28,3,6,2,11,343.2530000000001,95,"(2.0, 4.0]",3,2
20,28,4,6,3,11,326.452,96,"(2.0, 4.0]",3,2
20,19,4,6,3,11,326.452,96,"(20.0, 120.0]",3,2
20,28,8,6,1,11,265.615,94,"(2.0, 4.0]",3,2
20,28,9,6,1,11,294.217,81,"(2.0, 4.0]",3,2
20,28,10,6,4,11,265.017,88,"(2.0, 4.0]",3,2
20,28,11,6,4,11,284.031,97,"(2.0, 4.0]",3,2
20,10,11,4,4,11,284.031,97,"(4.0, 8.0]",3,2
20,15,11,6,4,11,284.031,97,"(4.0, 8.0]",3,2
20,28,12,6,4,11,236.629,93,"(2.0, 4.0]",3,2
20,26,12,4,2,11,236.629,93,"(4.0, 8.0]",3,2
20,28,2,6,2,11,251.818,96,"(2.0, 4.0]",3,2
20,28,3,6,2,11,244.387,98,"(2.0, 4.0]",3,2
20,19,3,2,3,11,244.387,98,"(4.0, 8.0]",3,2
20,28,4,6,3,11,239.409,98,"(2.0, 4.0]",3,2
20,28,4,6,3,11,239.409,98,"(2.0, 4.0]",3,2
20,28,5,6,3,11,246.074,99,"(2.0, 4.0]",3,2
20,28,6,6,3,11,253.957,95,"(2.0, 4.0]",3,2
20,13,7,6,1,11,230.29,92,"(4.0, 8.0]",3,2
20,26,7,2,1,11,230.29,92,"(2.0, 4.0]",3,2
20,28,8,2,1,11,249.797,93,"(2.0, 4.0]",3,2
14,19,7,2,1,14,239.554,97,"(20.0, 120.0]",0,2
14,23,9,4,1,14,241.476,92,"(-0.001, 2.0]",0,2
14,10,11,2,4,14,306.345,93,"(20.0, 120.0]",0,2
14,6,11,6,4,14,306.345,93,"(4.0, 8.0]",0,2
14,18,1,3,2,14,308.593,95,"(4.0, 8.0]",0,2
14,28,2,5,2,14,302.585,99,"(-0.001, 2.0]",0,2
14,1,3,2,2,14,343.2530000000001,95,"(8.0, 20.0]",0,2
14,13,3,3,2,14,343.2530000000001,95,"(4.0, 8.0]",0,2
14,28,4,3,3,14,326.452,96,"(-0.001, 2.0]",0,2
14,23,4,5,3,14,326.452,96,"(-0.001, 2.0]",0,2
14,12,4,4,3,14,326.452,96,"(20.0, 120.0]",0,2
14,28,5,5,3,14,378.884,92,"(-0.001, 2.0]",0,2
14,28,5,2,3,14,378.884,92,"(-0.001, 2.0]",0,2
14,28,5,2,3,14,378.884,92,"(-0.001, 2.0]",0,2
14,23,6,2,3,14,377.55,94,"(2.0, 4.0]",0,2
14,19,7,3,1,14,275.312,98,"(8.0, 20.0]",0,2
14,25,7,6,1,14,275.312,98,"(-0.001, 2.0]",0,2
14,11,11,2,4,14,284.031,97,"(20.0, 120.0]",0,2
14,23,1,2,2,14,330.061,100,"(-0.001, 2.0]",0,2
14,23,1,3,2,14,330.061,100,"(2.0, 4.0]",0,2
14,23,9,3,1,14,261.756,87,"(-0.001, 2.0]",0,2
14,18,12,3,2,14,280.54900000000004,98,"(20.0, 120.0]",0,2
14,18,1,3,2,14,313.532,96,"(4.0, 8.0]",0,2
14,25,2,2,2,14,264.249,97,"(4.0, 8.0]",0,2
14,13,3,4,3,14,222.196,99,"(20.0, 120.0]",0,2
14,28,4,3,3,14,246.288,91,"(2.0, 4.0]",0,2
14,10,5,2,3,14,237.656,99,"(20.0, 120.0]",0,2
14,23,5,4,3,14,237.656,99,"(-0.001, 2.0]",0,2
14,10,5,6,3,14,237.656,99,"(4.0, 8.0]",0,2
1,22,7,2,1,14,239.554,97,"(4.0, 8.0]",1,1
1,23,8,5,1,14,205.917,92,"(2.0, 4.0]",1,1
1,26,12,4,4,14,261.306,97,"(4.0, 8.0]",1,1
1,7,4,6,3,14,326.452,96,"(2.0, 4.0]",1,1
1,13,6,6,3,14,377.55,94,"(8.0, 20.0]",1,1
1,23,8,3,1,14,265.615,94,"(-0.001, 2.0]",1,1
1,19,8,5,1,14,265.615,94,"(4.0, 8.0]",1,1
1,26,10,2,4,14,265.017,88,"(2.0, 4.0]",1,1
1,18,11,4,4,14,284.031,97,"(-0.001, 2.0]",1,1
1,25,11,5,4,14,284.031,97,"(-0.001, 2.0]",1,1
1,23,12,2,4,14,236.629,93,"(2.0, 4.0]",1,1
1,25,12,5,4,14,236.629,93,"(-0.001, 2.0]",1,1
1,14,12,3,2,14,236.629,93,"(2.0, 4.0]",1,1
1,13,1,3,2,14,330.061,100,"(-0.001, 2.0]",1,1
1,22,3,2,2,14,244.387,98,"(4.0, 8.0]",1,1
1,21,3,5,2,14,244.387,98,"(4.0, 8.0]",1,1
1,1,5,2,3,14,246.074,99,"(4.0, 8.0]",1,1
1,13,6,3,1,14,253.957,95,"(4.0, 8.0]",1,1
1,23,8,3,1,14,249.797,93,"(2.0, 4.0]",1,1
1,22,4,6,3,14,246.288,91,"(4.0, 8.0]",1,1
1,22,5,2,3,14,237.656,99,"(4.0, 8.0]",1,1
1,11,7,3,1,14,264.60400000000004,93,"(2.0, 4.0]",1,1
24,14,7,6,1,16,239.554,97,"(4.0, 8.0]",1,1
24,19,12,6,2,16,261.306,97,"(4.0, 8.0]",1,1
24,1,2,4,2,16,302.585,99,"(4.0, 8.0]",1,1
24,13,4,4,3,16,326.452,96,"(20.0, 120.0]",1,1
24,14,4,6,3,16,326.452,96,"(4.0, 8.0]",1,1
24,19,6,2,3,16,377.55,94,"(4.0, 8.0]",1,1
24,10,6,3,3,16,377.55,94,"(20.0, 120.0]",1,1
24,10,6,6,3,16,377.55,94,"(4.0, 8.0]",1,1
24,10,6,2,3,16,377.55,94,"(4.0, 8.0]",1,1
24,9,9,2,1,16,294.217,81,"(8.0, 20.0]",1,1
24,9,9,4,1,16,294.217,81,"(20.0, 120.0]",1,1
24,13,11,6,4,16,284.031,97,"(4.0, 8.0]",1,1
24,13,11,2,4,16,284.031,97,"(4.0, 8.0]",1,1
24,4,12,5,4,16,236.629,93,"(4.0, 8.0]",1,1
24,26,2,5,2,16,251.818,96,"(4.0, 8.0]",1,1
24,23,2,3,2,16,251.818,96,"(-0.001, 2.0]",1,1
24,10,2,6,2,16,251.818,96,"(20.0, 120.0]",1,1
24,19,3,4,2,16,244.387,98,"(8.0, 20.0]",1,1
24,28,3,6,2,16,244.387,98,"(-0.001, 2.0]",1,1
24,28,3,3,3,16,244.387,98,"(-0.001, 2.0]",1,1
24,28,6,3,3,16,253.957,95,"(2.0, 4.0]",1,1
24,28,6,6,1,16,253.957,95,"(-0.001, 2.0]",1,1
24,28,7,3,1,16,230.29,92,"(-0.001, 2.0]",1,1
24,28,7,3,1,16,230.29,92,"(-0.001, 2.0]",1,1
24,28,8,3,1,16,249.797,93,"(2.0, 4.0]",1,1
24,28,8,3,1,16,249.797,93,"(-0.001, 2.0]",1,1
24,28,9,3,1,16,261.756,87,"(-0.001, 2.0]",1,1
24,28,9,3,1,16,261.756,87,"(-0.001, 2.0]",1,1
24,26,10,6,4,16,284.853,91,"(4.0, 8.0]",1,1
6,11,7,5,1,13,239.554,97,"(4.0, 8.0]",0,0
6,22,11,2,4,13,306.345,93,"(4.0, 8.0]",0,0
6,23,2,5,2,13,302.585,99,"(4.0, 8.0]",0,0
6,19,2,5,2,13,302.585,99,"(4.0, 8.0]",0,0
6,22,2,2,2,13,251.818,96,"(4.0, 8.0]",0,0
6,23,10,2,4,13,284.853,91,"(4.0, 8.0]",0,0
6,13,4,5,3,13,246.288,91,"(4.0, 8.0]",0,0
6,22,7,3,1,13,264.60400000000004,93,"(8.0, 20.0]",0,0
33,23,8,4,1,14,205.917,92,"(-0.001, 2.0]",1,2
33,23,9,6,4,14,241.476,92,"(-0.001, 2.0]",1,2
33,23,10,4,4,14,253.465,93,"(-0.001, 2.0]",1,2
33,28,11,2,4,14,306.345,93,"(-0.001, 2.0]",1,2
33,23,12,3,4,14,261.306,97,"(-0.001, 2.0]",1,2
33,14,3,6,2,14,343.2530000000001,95,"(2.0, 4.0]",1,2
33,14,3,6,3,14,343.2530000000001,95,"(2.0, 4.0]",1,2
33,28,4,6,3,14,326.452,96,"(4.0, 8.0]",1,2
33,23,8,4,1,14,265.615,94,"(-0.001, 2.0]",1,2
33,25,8,2,1,14,265.615,94,"(-0.001, 2.0]",1,2
33,23,11,2,4,14,284.031,97,"(-0.001, 2.0]",1,2
33,26,4,2,3,14,239.409,98,"(2.0, 4.0]",1,2
33,23,5,4,3,14,246.074,99,"(-0.001, 2.0]",1,2
33,23,9,6,1,14,261.756,87,"(-0.001, 2.0]",1,2
33,10,10,2,4,14,284.853,91,"(4.0, 8.0]",1,2
33,14,11,5,4,14,268.519,93,"(2.0, 4.0]",1,2
33,1,2,4,2,14,264.249,97,"(4.0, 8.0]",1,2
33,23,2,3,2,14,264.249,97,"(-0.001, 2.0]",1,2
33,23,3,2,2,14,222.196,99,"(-0.001, 2.0]",1,2
33,25,3,3,2,14,222.196,99,"(2.0, 4.0]",1,2
33,13,3,2,2,14,222.196,99,"(-0.001, 2.0]",1,2
33,23,3,5,2,14,222.196,99,"(2.0, 4.0]",1,2
33,19,4,4,3,14,246.288,91,"(4.0, 8.0]",1,2
18,10,8,4,1,4,205.917,92,"(4.0, 8.0]",2,1
18,18,2,2,2,4,302.585,99,"(4.0, 8.0]",2,1
18,23,2,3,2,4,302.585,99,"(-0.001, 2.0]",2,1
18,26,7,3,1,4,275.312,98,"(4.0, 8.0]",2,1
18,1,7,2,1,4,275.312,98,"(4.0, 8.0]",2,1
18,1,7,3,1,4,275.312,98,"(4.0, 8.0]",2,1
18,26,4,6,3,4,239.409,98,"(2.0, 4.0]",2,1
18,23,4,4,3,4,239.409,98,"(4.0, 8.0]",2,1
18,13,5,6,3,4,246.074,99,"(4.0, 8.0]",2,1
18,11,6,3,1,4,253.957,95,"(-0.001, 2.0]",2,1
18,25,7,6,1,4,230.29,92,"(4.0, 8.0]",2,1
18,23,8,5,1,4,249.797,93,"(8.0, 20.0]",2,1
18,2,11,4,4,4,268.519,93,"(20.0, 120.0]",2,1
18,10,5,5,3,4,237.656,99,"(4.0, 8.0]",2,1
30,28,8,4,1,6,205.917,92,"(2.0, 4.0]",1,1
30,19,3,3,2,6,343.2530000000001,95,"(2.0, 4.0]",1,1
30,25,7,2,1,6,275.312,98,"(2.0, 4.0]",1,1
30,19,8,6,1,6,265.615,94,"(2.0, 4.0]",1,1
30,28,12,2,2,6,236.629,93,"(-0.001, 2.0]",1,1
30,11,2,4,2,6,251.818,96,"(8.0, 20.0]",1,1
2,18,8,5,1,12,205.917,92,"(4.0, 8.0]",2,0
2,18,8,2,1,12,205.917,92,"(4.0, 8.0]",2,0
2,28,8,6,1,12,205.917,92,"(4.0, 8.0]",2,0
2,23,7,2,1,12,230.29,92,"(-0.001, 2.0]",2,0
19,11,8,5,1,12,205.917,92,"(2.0, 4.0]",1,1
19,28,3,3,2,12,343.2530000000001,95,"(-0.001, 2.0]",1,1
27,23,9,3,1,7,241.476,92,"(-0.001, 2.0]",0,1
27,23,1,5,2,7,308.593,95,"(-0.001, 2.0]",0,1
27,23,1,5,2,7,308.593,95,"(-0.001, 2.0]",0,1
27,23,2,6,2,7,302.585,99,"(-0.001, 2.0]",0,1
27,23,2,3,2,7,302.585,99,"(4.0, 8.0]",0,1
27,7,5,4,3,7,378.884,92,"(2.0, 4.0]",0,1
27,6,8,4,1,7,265.615,94,"(4.0, 8.0]",0,1
34,23,9,2,1,10,241.476,92,"(2.0, 4.0]",0,1
34,23,9,2,1,10,241.476,92,"(2.0, 4.0]",0,1
34,23,9,3,4,10,241.476,92,"(-0.001, 2.0]",0,1
34,23,10,3,4,10,253.465,93,"(2.0, 4.0]",0,1
34,23,10,3,4,10,253.465,93,"(2.0, 4.0]",0,1
34,19,12,3,4,10,261.306,97,"(20.0, 120.0]",0,1
34,19,12,3,4,10,261.306,97,"(20.0, 120.0]",0,1
34,27,12,6,4,10,261.306,97,"(-0.001, 2.0]",0,1
34,19,1,2,2,10,308.593,95,"(-0.001, 2.0]",0,1
34,27,1,3,2,10,308.593,95,"(-0.001, 2.0]",0,1
34,27,1,2,2,10,308.593,95,"(-0.001, 2.0]",0,1
34,27,1,3,2,10,308.593,95,"(-0.001, 2.0]",0,1
